date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:32:46	82886/82886	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202022%2006:32:01%20GMT	https://wtach.club/en/movie/436270/black-adam	C:/Users/samsung/Documents/datt/www.dating.com/match/wtach.club/en/movie/436270/black-adam.html	(from )
07:32:48	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2011%20Mar%202022%2008:32:38%20GMT	https://wtach.club/robots.txt		(from )
07:32:54	11440/11440	---M-Z	200	added ('OK')	application/javascript	etag:W/%22-375139978%22	http://s10.histats.com/js15_as.js	C:/Users/samsung/Documents/datt/www.dating.com/match/s10.histats.com/js15_as.js	(from https://wtach.club/en/movie/436270/black-adam)
07:32:56	43/43	---M--	200	added ('OK')	image/gif	date:Sat,%2010%20Dec%202022%2006:32:10%20GMT	http://sstatic1.histats.com/0.gif?3758219&101	C:/Users/samsung/Documents/datt/www.dating.com/match/sstatic1.histats.com/07131.gif	(from https://wtach.club/en/movie/436270/black-adam)
07:32:59	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%2298736d79a2579e922ebb12be517eea2a%22	http://use.fontawesome.com/3db27005e3.js	C:/Users/samsung/Documents/datt/www.dating.com/match/use.fontawesome.com/3db27005e3.js	(from https://wtach.club/en/movie/436270/black-adam)
07:32:59	1033/1033	---MCZ	200	added ('OK')	text/css	etag:W/%22fccfcc7a79d8dea2a68ba45063e61b7a%22	http://use.fontawesome.com/3db27005e3.css	C:/Users/samsung/Documents/datt/www.dating.com/match/use.fontawesome.com/3db27005e3.css	(from https://wtach.club/en/movie/436270/black-adam)
07:33:04	208656/208656	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202022%2008:32:38%20GMT	https://wtach.club/themes/v1/assets/styles.css	C:/Users/samsung/Documents/datt/www.dating.com/match/wtach.club/themes/v1/assets/styles.css	(from https://wtach.club/en/movie/436270/black-adam)
07:33:18	287933/287933	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20Mar%202022%2008:32:38%20GMT	https://wtach.club/themes/v1/assets/scripts.js	C:/Users/samsung/Documents/datt/www.dating.com/match/wtach.club/themes/v1/assets/scripts.js	(from https://wtach.club/en/movie/436270/black-adam)
07:33:26	7490/7490	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Mar%202022%2008:32:38%20GMT	https://wtach.club/themes/v1/logo.png	C:/Users/samsung/Documents/datt/www.dating.com/match/wtach.club/themes/v1/logo.png	(from https://wtach.club/en/movie/436270/black-adam)
07:33:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:32:43%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w780/uA7PyZMaOKAUQTBBhUoG6BOqTbn.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w780/uA7PyZMaOKAUQTBBhUoG6BOqTbn.8.delayed	(from https://wtach.club/en/movie/436270/black-adam)
